SamplingDate,N_Visits,BeeType,N_Stigmas,BeePollen,SelfPollen,TotalPollen,PollenNectar,StrawbMass,First
31/5/16,1,HB,187,17,65,82,PN,8.2,NA
31/5/16,1,HB,216,118,25,143,PN,12.35,NA
31/5/16,2,HB,195,58,57,115,PN,21.24,NA
31/5/16,2,HB,156,86,49,135,PN,12.58,NA
31/5/16,2,HB,177,136,29,165,PN,15.78,NA
31/5/16,1,HB,88,33,38,71,PN,4.5,NA
31/5/16,1,HB,136,54,36,90,PN,7.15,NA
31/5/16,1,HB,110,72,20,92,PN,6.92,NA
31/5/16,6,HB,255,183,65,248,PN,6.32,NA
31/5/16,6,HB,208,110,48,158,PN,8.92,NA
31/5/16,2,WB,187,85,102,187,PN,21.09,NA
31/5/16,4,MIX,260,186,40,226,PN,15.14,WB
31/5/16,6,WB,220,210,0,210,PN,22.96,NA
31/5/16,2,HB,135,45,90,135,N,0,NA
31/5/16,6,MIX,236,173,63,236,PN,12.63,WB
31/5/16,4,MIX,197,100,97,197,PN,17.84,HB
31/5/16,3,MIX,191,80,99,179,PN,11.09,HB
31/5/16,2,MIX,171,62,61,123,N,0,HB
1/6/2016,1,WB,77,43,34,77,PN,24.88,NA
1/6/2016,2,WB,166,65,101,166,PN,22.5,NA
1/6/2016,1,WB,151,33,45,78,PN,15.4,NA
1/6/2016,2,WB,189,23,156,179,PN,11.75,NA
1/6/2016,2,WB,178,39,102,141,PN,12.79,NA
1/6/2016,1,WB,131,13,78,91,PN,9.23,NA
1/6/2016,3,HB,229,27,202,229,PN,9.24,NA
1/6/2016,6,HB,190,138,35,173,PN,5.6,NA
1/6/2016,3,HB,177,36,15,51,PN,11.19,NA
1/6/2016,1,WB,134,15,119,134,PN,9.07,NA
1/6/2016,1,WB,176,77,99,176,PN,21.42,NA
1/6/2016,1,WB,284,0,200,200,PN,29.68,NA
1/6/2016,3,HB,209,0,209,209,PN,0,NA
1/6/2016,4,HB,204,63,99,162,PN,0,NA
1/6/2016,2,HB,142,0,142,142,PN,0,NA
1/6/2016,3,HB,262,28,171,199,PN,9.72,NA
1/6/2016,2,WB,220,48,164,213,P,27.49,NA
1/6/2016,3,HB,178,52,126,178,PN,10.12,NA
1/6/2016,1,HB,169,17,152,169,PN,7.06,NA
1/6/2016,6,HB,172,103,69,172,N,11.91,NA
1/6/2016,2,HB,150,63,74,137,PN,5.4,NA
1/6/2016,6,HB,268,158,110,268,N,15.66,NA
1/6/2016,2,HB,283,71,212,283,N,0.37,NA
1/6/2016,2,HB,139,10,129,139,PN,8.3,NA
1/6/2016,3,HB,177,42,155,134,N,12.2,NA
1/6/2016,2,HB,159,38,121,159,N,6.16,NA
1/6/2016,3,HB,213,34,179,213,PN,17.9,NA
1/6/2016,2,HB,119,13,106,119,PN,10.85,NA
1/6/2016,3,HB,140,9,121,130,PN,16.02,NA
1/6/2016,2,HB,119,24,63,87,N,2.31,NA
1/6/2016,3,MIX,222,0,222,222,N,16.64,WB
1/6/2016,2,HB,224,58,166,224,N,16.04,NA
1/6/2016,3,HB,218,32,186,218,PN,7.26,NA
1/6/2016,2,HB,181,14,167,181,PN,10,NA
1/6/2016,2,HB,130,23,98,121,P,10.21,NA
1/6/2016,2,WB,143,32,111,143,PN,0.46,NA
1/6/2016,2,MIX,180,44,96,140,N,16.04,HB
1/6/2016,1,WB,162,43,88,131,N,12.87,NA
1/6/2016,2,WB,132,91,41,132,N,7.98,NA
1/6/2016,1,WB,139,38,101,139,PN,7.52,NA
1/6/2016,4,WB,240,98,142,240,N,2.37,NA
1/6/2016,6,MIX,193,178,15,193,N,11.19,HB
1/6/2016,4,MIX,168,56,112,168,N,7.06,HB
1/6/2016,4,MIX,187,91,96,187,PN,23.81,WB
1/6/2016,4,MIX,220,196,24,220,N,9.71,WB
1/6/2016,4,MIX,237,147,90,237,PN,16.32,WB
1/6/2016,2,MIX,149,21,102,123,N,8.3,HB
1/6/2016,3,MIX,163,12,98,110,PN,6.02,HB
1/6/2016,3,WB,197,19,178,197,P,16.64,NA
2/6/2016,1,WB,171,17,98,115,PN,8.53,NA
2/6/2016,3,WB,163,67,89,156,PN,12.42,NA
2/6/2016,2,WB,162,88,74,162,P,17.74,NA
2/6/2016,1,WB,139,21,45,66,PN,9.09,NA
2/6/2016,1,WB,139,23,45,68,PN,7.95,NA
2/6/2016,6,MIX,209,172,37,209,N,1.67,HB
2/6/2016,3,MIX,171,73,69,142,N,10.42,HB
2/6/2016,6,MIX,175,118,57,175,N,9.95,HB
2/6/2016,2,MIX,139,77,37,114,N,8.21,HB
2/6/2016,6,MIX,225,90,123,213,N,15.48,WB
2/6/2016,4,MIX,190,81,87,168,N,13.04,WB
2/6/2016,3,MIX,156,93,63,156,N,10.21,WB
2/6/2016,6,MIX,344,250,94,344,N,22.37,HB
2/6/2016,1,WB,104,23,81,104,P,15.99,NA
2/6/2016,1,WB,112,30,82,112,PN,19.33,NA
2/6/2016,1,WB,111,5,75,80,PN,7.1,NA
2/6/2016,4,HB,175,78,97,175,PN,17.92,NA
2/6/2016,1,WB,156,23,133,156,PN,22.97,NA
2/6/2016,1,WB,150,39,111,150,PN,23.06,NA
3/6/2016,4,WB,204,93,111,204,PN,19.45,NA
3/6/2016,1,WB,75,9,66,75,PN,12.93,NA
3/6/2016,4,WB,151,72,79,151,PN,25.71,NA
3/6/2016,4,WB,155,99,56,155,PN,10.84,NA
3/6/2016,4,WB,186,97,89,186,PN,22.35,NA
